 ,,,,,,,,,,,,,,,,,
,,Menu List,,,,,,,,Pairing List,,,,,,,
,,구분,명칭,,설명,비고,,No.,컬러,타입명,타입 설명,음료,푸드,성향 키워드,젬스 QR,예시; 체험자 성향 분석 (지향가치),페어링 포인트
,,음료,1,Negroni,"진의 기분 좋은 허브의 향과 캄파리의 쌉싸름함, 스위버무스의 단맛의 달콤 쌉싸름한 균형을 자랑하는 클래식 칵테일",칵테일 / red,,1,red,Bold Creator,"남다른 시도로 새로운 가치를 만들고, 깊이 있는 전략으로 시장을 이끄는 마케터.",Negroni,코랄 소스의 랍스터 테일,#도전 #전략적 #리더십,,OOO님은 익숙함을 벗어나 미지의 영역에서 새로운 가치를 발견하는 모험적 도전을 통해 성장과 리더십을 추구하시는 분이시군요! '쉽지 않은 길이라도 진정한 가치라면 기꺼이 나선다'는 확고한 철학이 돋보입니다.,"OOO님은 '진정한 가치는 겉으로 드러나는 편안함보다 깊은 곳에 있다'고 믿으시며, 이를 위해 도전을 마다하지 않는 분이시기에, 네그로니의 복합적인 쓴맛과 랍스터의 풍부하고 진한 맛이 만나 최상의 미식 경험을 선사하는 이 조합은 완벽합니다. OOO님께서 마케팅에서도 겉만 번지르르한 메시지보다, 깊이 있는 가치를 탐구하여 고객에게 진정한 만족을 주는 전략적인 접근으로 시장을 리더십 있게 이끄시는 깊이 있는 모습과 닮아있습니다."
,,,2,Grapefruit Blossom,"부드럽고 달콤한 망고 크림이 열대 과일 베이스 목테일과 연결되며, 에너지 넘치고 유쾌한 분위기를 극대화합니다.",목테일 / red,,2,red,Unexpected Innovator,"틀을 깨는 아이디어로 고객에게 놀라움을 선사하고, 늘 새로운 변화를 시도하는 마케터.",Negroni,파가든 브리오쉬 한우 버거,#열정 #변주 #모험적,,OOO님은 예상 밖의 조합에서 오는 반전 매력에 대한 열정을 통해 끊임없이 새로운 변주를 시도하며 모험적인 즐거움을 추구하시는 분이시군요! '틀에 박힌 것보다 신선한 충격이 더 큰 감동을 준다'는 믿음이 느껴집니다.,예상 밖의 조합에서 오는 반전 매력에 대한 열정이 남다르시며 끊임없이 새로운 변주를 시도하는 모험적인 태도를 즐기시는 OOO님께 네그로니의 쌉쌀함과 한우 버거의 육즙 가득한 풍미가 만나 새로운 차원의 '어반 다이닝' 경험을 선사하는 이 조합을 추천합니다. OOO님께서 마케팅에서도 익숙한 프레임을 벗어나 혁신적인 아이디어로 시장에 신선한 충격을 주는 데 탁월한 재능을 보이시는 것과 이 조화가 당신과 닮아있어요.
,,,3,Fuzzy Navel,달콤하고 부드러운 복숭아 향과 상큼한 오렌지의 낮은 도수로 부담 없이 즐길 수 있는 달콤한 칵테일,칵테일 / yellow,,3,red,Future Seeker ,"시대의 흐름을 꿰뚫어 보고, 자신만의 방식으로 새로운 유행을 만들어가는 마케터.",Negroni,아보카도 리코타 치즈 토스트,#전략적 #넓은시야 #영감,,"OOO님은 '변화하는 시대의 흐름을 읽고, 자신만의 넓은 시야로 재해석하는 전략적 통찰력을 통해 새로운 영감을 얻는 삶의 가치를 지향하시는군요! '트렌드를 쫓기보다, 트렌드를 만들어간다'는 선구자적 면모가 돋보입니다.",변화하는 시대의 흐름을 읽고 자신만의 넓은시야로 재해석하는 전략적 통찰력을 통해 새로운 영감을 얻으시는 OOO님께 건강과 가벼움을 추구하는 아보카도 토스트에 네그로니의 강렬함을 더해 '웰빙 속의 강렬한 미학'을 제안하는 이 조합을 추천합니다. OOO님은 마케팅에서도 트렌드를 단순히 쫓기보다 자신만의 독창적인 해석을 덧붙여 새로운 가치를 창출해내시는 분이시기에 이 조화가 당신과 닮아있습니다.
,,,4,Surbin Burst,"오렌지의 상큼함 , 파인애플의 달콤함, 레몬주의의 새콤함, 3가지 재료가 한 잔에 응축된 비타민 폭발 목테일",목테일 / yellow,,4,red,Experience Architect,"고객의 오감을 사로잡는 디테일로, 상품을 넘어 완벽한 경험을 디자인하는 마케터.",Grapefruit Blossom,망고 크림 새우,#조화 #섬세함 #소통,,"OOO님은 오감을 자극하는 감각적인 경험을 조화롭게 디자인하는 데 탁월한 섬세함을 지향하시는 분이시군요! '아름다움은 디테일에서 완성되며, 그 아름다움을 소통하는 것'이 중요하다고 믿는 분이십니다.",오감을 자극하는 감각적인 경험을 조화롭게 디자인하는 데 탁월한 섬세함을 지니신 OOO님께 자몽 블라썸의 시원한 청량감과 망고 크림 새우의 달콤 부드러움이 시각적 아름다움까지 더해져 '오감 만족'을 선사하는 이 조합을 추천합니다. OOO님께서 마케팅에서도 제품을 넘어 고객의 모든 감각을 만족시키는 풍부한 경험을 소통하는 데 집중하시는 모습과 이 조화가 당신과 닮아있어요.
,,,5,Blue Hawaii,"블루 하와이는 파인애플과 레몬의 상큼달콤한 맛과 럼, 블루 큐라소의 풍미가 어우러진, 도수가 낮아 부담 없이 즐길 수 있는 열대 칵테일입니다.",칵테일 / blue,,5,red,Harmony Seeker,"서로 다른 요소를 균형 있게 조화시켜, 모두가 만족할 수 있는 안정적인 솔루션을 제시하는 마케터.",Grapefruit Blossom,고르곤졸라 피자,#밸런스 #조화 #안정성,,OOO님은 상반되는 요소들 속에서 최적의 밸런스를 찾아내어 조화를 이뤄내는 탁월한 능력을 지향하시는군요! '모든 것은 균형 속에서 가장 빛난다'는 철학을 가지신 분입니다.,상반되는 요소들 속에서 최적의 밸런스를 찾아내어 조화를 이뤄내는 탁월한 능력을 지향하시는 OOO님께 자몽의 쌉쌀함이 블루베리의 단맛과 크림치즈의 부드러움을 조화롭게 감싸는 이 조합을 추천합니다. OOO님은 마케팅에서도 다양한 소비자 니즈 사이에서 섬세한 균형점을 찾아내어 모두를 만족시키는 안정성 있는 전략을 구사하시기에 이 조화가 당신과 닮아있습니다.
,,,6,Blue Summer Cooler,청포도의 산뜻한 달콤함과 라임주스와 블루큐라소의 시트러스한 향이 어우러진 탄산의 청량함을 가진 목테일,목테일 / blue,,6,red,Curious Explorer,"익숙함 속에서도 새로운 재미를 찾아내고, 고객의 호기심을 자극하며 다양성을 즐기는 마케터.",Grapefruit Blossom,와사비 젤리 허브 연어,#영감 #도전 #다양성,,"OOO님은 친숙함 속에서 새로운 흥미를 유발하는, 영감 어린 도전을 즐겨 찾으시며 다양성을 추구하는 삶의 가치를 지향하시는군요! '예측 불가능한 즐거움에서 새로운 영감을 얻는다'는 개척자의 면모가 돋보입니다.",친숙함 속에서 새로운 흥미를 유발하는 영감 어린 도전을 즐겨 찾으시는 OOO님께 자몽의 상큼함이 와사비의 알싸함을 만나 연어의 풍미를 돋우는 '예측 불허의 조화'를 만드는 이 조합을 추천합니다. OOO님은 마케팅에서도 고객의 호기심을 자극하고 다양성 있는 매력을 지속적으로 발산하는 데 능숙하신 분이시기에 이 조화가 당신과 닮아있습니다.
,,,7,Green Mirage,핸드릭스 진의 은은한 허브향과 멜론 리큐르의 달콤함이 어우러져 토닉워터의 청량감을 더한 칵테일,칵테일 / green,,7,yellow,Positive Giver,"고객의 삶에 긍정적인 에너지와 영감을 불어넣으며, 좋은 라이프스타일을 자연스럽게 제안하는 마케터.",Fuzzy Navel ,아보카도 리코타 치즈 토스트,#소통 #효율성 #안정성,,"OOO님은 고객의 일상에 긍정적인 가치를 더하는 것에 큰 보람을 느끼시며, 이를 친근하게 소통하고 효율적으로 전달하는 삶의 가치를 지향하시는군요! '모두가 함께 즐거워야 진정한 행복이다'라는 따뜻한 신념이 느껴집니다.",고객의 일상에 긍정적인 가치를 더하는 것에 큰 보람을 느끼시며 이를 친근하게 소통하시는 OOO님께 낮은 도수의 칵테일과 건강한 브런치 조합으로 '건강한 즐거움'을 효율적으로 제안하는 이 조합을 추천합니다. OOO님은 마케팅에서도 고객의 건강하고 행복한 라이프스타일을 지원하는 제품이나 서비스를 선호하고 안정성 있는 가치를 효과적으로 전달하시기에 이 조화가 당신과 닮아있습니다.
,,,8,Mojito,민트의 향긋함과 라임의 산미가 어우러진 달콤하고 청량한 목테일,목테일 / green,,8,yellow,Cozy Connector,"일상의 작은 행복을 소중히 여기고, 섬세한 감성으로 고객의 마음에 공감하며 편안함을 주는 마케터.",Fuzzy Navel,고르곤졸라 피자,#조화 #섬세함 #아우름,,OOO님은 일상 속의 작은 행복과 소소한 기쁨을 소중히 여기며 조화로운 감성으로 주변을 아우름으로써 편안함을 주는 삶의 가치를 지향하시는군요! '소박한 즐거움이 주는 큰 위로'를 아는 분이십니다.,일상 속의 작은 행복과 소소한 기쁨을 소중히 여기는 조화로운 감성을 지향하시는 OOO님께 퍼지 네이블의 부드러움과 베이글의 포근함이 '나른한 오후의 완벽한 휴식'을 선사하는 이 조합을 추천합니다. OOO님은 마케팅에서도 고객의 평범한 일상에 '소확행'의 순간을 섬세하게 아우름으로써 마음을 움직이시는 분이시기에 이 조화가 당신과 닮아있어요.
